j,v1,v2,v3,time
0,0.0589654,0.0589654,1.96595,0.00198364
2,0.0559945,0.0559945,1.90099,0.00402832
4,0.0539803,0.0539803,1.84298,0.00585938
6,0.0519661,0.0519661,1.788,0.00765991
8,0.050959,0.0499519,1.73598,0.00949096
10,0.0479881,0.0499519,1.68598,0.011322
12,0.0479881,0.0479881,1.63497,0.0132141
14,0.046981,0.046981,1.58396,0.0150757
16,0.0439597,0.0439597,1.54,0.0169067
18,0.0439597,0.0429526,1.49498,0.0187378
20,0.0419959,0.0439597,1.45097,0.0205688
22,0.0419959,0.0409888,1.40998,0.0223694
24,0.0399817,0.0389746,1.37096,0.0242004
26,0.0379675,0.0399817,1.32896,0.0260315
28,0.0379675,0.0379675,1.29195,0.027832
30,0.0379675,0.0359533,1.25696,0.0296326
32,0.0359533,0.0359533,1.21999,0.0314636
34,0.0339894,0.0359533,1.18399,0.0332947
36,0.0339894,0.0329823,1.15197,0.0351257
38,0.0329823,0.0339894,1.11999,0.0369263
40,0.0329823,0.0309682,1.08897,0.0387573
42,0.0309682,0.028954,1.05795,0.0405578
44,0.0309682,0.0299611,1.02799,0.0423584
46,0.0299611,0.028954,0.995966,0.0441895
48,0.0299611,0.0279972,0.967969,0.04599
50,0.0269901,0.0269901,0.942993,0.047821
52,0.0269901,0.025983,0.914996,0.0496216
54,0.024976,0.025983,0.88997,0.0514221
56,0.024976,0.024976,0.865951,0.0532532
58,0.0239689,0.024976,0.841982,0.0550537
60,0.0239689,0.0239689,0.817962,0.0568848
62,0.0229618,0.0229618,0.795957,0.0586853
64,0.0229618,0.0219547,0.77496,0.0604858
66,0.0219547,0.0229618,0.751998,0.0623474
68,0.0209979,0.0219547,0.731956,0.0641479
70,0.0199908,0.0209979,0.710959,0.065979
72,0.0189837,0.0209979,0.691975,0.0677795
74,0.0189837,0.0189837,0.673998,0.0696106
76,0.0179766,0.0189837,0.65295,0.0714111
78,0.0179766,0.0189837,0.633966,0.0732422
80,0.0189837,0.0179766,0.61896,0.0750427
82,0.0159625,0.0179766,0.601991,0.0768738
84,0.0179766,0.0169695,0.586985,0.0786743
86,0.0169695,0.0149554,0.569965,0.0805054
88,0.0149554,0.0139986,0.55496,0.0823059
90,0.0149554,0.0159625,0.538997,0.084137
92,0.0149554,0.0159625,0.525955,0.0859375
94,0.0139986,0.0139986,0.51095,0.0877686
96,0.0149554,0.0129915,0.496951,0.0895691
98,0.0129915,0.0119844,0.482952,0.0914001
100,0.0139986,0.0129915,0.471975,0.0932007
102,0.0129915,0.0129915,0.457976,0.0950317
104,0.0119844,0.0119844,0.444985,0.0968323
106,0.0109773,0.0109773,0.434964,0.0986633
108,0.0109773,0.0109773,0.423987,0.100464
110,0.0119844,0.0109773,0.410995,0.102295
