j,vdac,v1,v2,time
0,0.0,0.0869626,0.0589654,0.399872
5,0.0646555,0.12498,0.0609796,0.802948
10,0.129361,0.184953,0.0879698,1.20621
15,0.194067,0.242962,0.12498,1.60886
20,0.258773,0.301977,0.164962,2.01135
25,0.323479,0.36195,0.204994,2.41388
30,0.388185,0.421973,0.243969,2.81641
35,0.45289,0.479981,0.28395,3.21893
40,0.517596,0.540961,0.322975,3.62146
45,0.582302,0.597963,0.363964,4.02396
50,0.647008,0.656978,0.404953,4.42648
55,0.711714,0.717958,0.442971,4.82904
60,0.77642,0.772996,0.482952,5.23154
65,0.841126,0.844953,0.521977,5.63406
70,0.905832,0.905982,0.566994,6.09125
75,0.970537,0.967969,0.606976,6.49435
80,1.03524,1.02799,0.645951,6.89661
85,1.09995,1.08796,0.688954,7.29916
90,1.16465,1.14899,0.726971,7.70169
95,1.22936,1.20796,0.765996,8.10422
100,1.29407,1.27,0.806985,8.50677
105,1.35877,1.32796,0.847974,8.90933
110,1.42348,1.38999,0.887956,9.31186
115,1.48818,1.44997,0.928995,9.71445
120,1.55289,1.51099,0.966962,10.117
125,1.6176,1.56895,1.01399,10.5195
130,1.6823,1.646,1.04899,10.922
135,1.74706,1.71896,1.09698,11.3246
140,1.81171,1.76498,1.14597,11.8321
145,1.87642,1.82299,1.17896,12.2342
150,1.94112,1.88297,1.21697,12.6375
155,2.00588,1.95195,1.25696,13.0399
160,2.07054,1.99697,1.30197,13.4425
165,2.13524,2.05699,1.334,13.845
170,2.19995,2.11596,1.37398,14.2475
175,2.2647,2.18696,1.41396,14.6501
180,2.32936,2.23298,1.46296,15.0516
185,2.39407,2.29295,1.49297,15.4541
190,2.45877,2.35197,1.53099,15.8566
195,2.52353,2.43495,1.57097,16.2592
200,2.58818,2.48496,1.62399,16.6617
205,2.65289,2.54599,1.65199,17.0642
210,2.7176,2.61195,1.69298,17.5154
215,2.78235,2.69297,1.73195,17.9185
220,2.84701,2.72998,1.77898,18.3218
225,2.91171,2.72998,1.81096,18.7246
230,2.97642,2.72998,1.84998,19.1271
235,3.04117,2.72998,1.88699,19.5297
240,3.10583,2.72998,1.93,19.9322
245,3.17054,2.72998,1.95895,20.3347
250,3.23524,2.72998,1.98997,20.7372
